"scene_code","scene_template_num","business_type_code","business_type_level","primary_tag_code","secondary_tag_code","secondary_title_level","usergroup_id","image_location","channel_touch_code_set","status","is_scene_all_touch_query","exclusive_scene_id","order_field","creator_id","create_time","update_time"
"1859827586784331285","00110","BU05","10","STJ","STJ013","6","1863945753001730048",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00108,00138",,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:46"
"1859827586784331286","00111","BU05","10","STJ","STJ006","3","1863947480698458113",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00109,00140",,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:46"
"1859827586784331287","00113","BU05","10","STJ","STJ020","4","1857046536354144256",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:46"
"1859827586784331288","00083","BU05","10","SGZ","SGZ003","6","1857039353084383233",,"{""100006"":""9001101011""}","60","1",,,"mengll","20/11/2024 19:37:40","9/1/2025 23:40:47"
"1859827586784391164","00035","BU12","4","SYJ","SYJ002","2.5","1864638764584935425",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391165","00036","BU12","4","SYJ","SYJ001","2.5","1864638764584935425",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391166","00037","BU12","4","SGZ","SGZ001","4.5","1864639054512005121",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391167","00038","BU12","4","SGZ","SGZ001","4.5","1864639081305219073",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391168","00039","BU12","4","SGZ","SGZ001","4.5","1864639175140188161",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391169","00040","BU12","4","SGZ","SGZ001","4.5","1864639333374500865",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391170","00041","BU12","4","STJ","STJ004","1.5","1864599916958060545",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391171","00042","BU12","4","STJ","STJ018","1.5","1864600185901158400",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391172","00043","BU12","4","STJ","STJ005","1.5","1864629662236680192",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391173","00044","BU12","4","SYJ","SYJ005","2.5","1864639997135691776",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:49"
